c_dy,c_dynasty,c_dynasty_chn,c_start,c_end,c_sort
0,unknown,未詳,0,0,0
1,Pre-Han,漢前,-1100,-206,1
2,QinHan,秦漢,-221,220,2
3,SanGuo,三國,220,265,8
4,NanBei Chao,南北朝,420,589,15
5,Sui,隋,581,618,44
6,Tang,唐,618,907,46
7,Five Dynasties,五代,907,960,48
8,Later Shu (10 states),後蜀,933,965,57
9,Wu,吳,904,937,56
10,Southern Tang (10 states),南唐,937,975,63
11,WuYue (10 states),吳越,907,978,58
12,Min (10 states),閩國,909,945,60
13,Southern Han (10 states),南漢,917,971,61
14,Koryo,高麗,918,1392,80
15,Song,宋,960,1279,66
16,Liao,遼,947,1115,65
17,Jin,金,1115,1234,68
18,Yuan,元,1234,1367,71
19,Ming,明,1368,1644,73
20,Qing,清,1644,1911,75
21,Republic of China,中華民國,1912,3000,76
22,People's Republic of China,中華人民共和國,1949,3000,77
23,Western Jin,西晉,265,316,13
24,Chen,陳,557,589,20
25,Eastern Han,東漢,25,220,7
26,SanGuo Wei,三國魏,220,265,9
27,Eastern Jin,東晉,317,419,14
28,Song (Liu),宋(劉),420,479,16
29,Western Han,西漢,-206,9,5
30,Northern Wei,北魏,386,534,21
31,Northern Zhou,北周,557,581,25
32,Southern Qi,南齌,479,502,17
34,Later Liang (5 dynasties),後梁,907,923,49
35,Northern Qi,北齊,550,578,24
36,Wu (Yang: 10 states),吳(楊),904,937,54
37,Western Liang,西梁,557,560,19
38,Chu (Ma:10 states),楚(馬),907,951,59
39,Former Yan (16 states),前燕,337,370,31
40,Western Wei,西魏,535,557,23
41,Eastern Wei,東魏,534,550,22
42,SanGuo Wu,三國吳,222,280,11
44,Southern Liang,南梁,502,557,18
45,Later Qin (16 states),後秦,384,417,33
46,Xin (Wang Mang),新,9,25,6
47,Later Tang (5 dynasties),後唐,923,936,50
48,Later Jin (5 dynasties),後晉,936,947,51
49,Later Zhou (5 dynasties),後周,951,960,53
50,Southern Yan (16 states),南燕,398,410,39
51,Former Liang (16 states),前涼,317,376,29
52,Later Han (5 dynasties),後漢,947,951,52
53,SanGuo Shu,三國蜀,221,263,10
55,Nanping (10 states),南平,924,963,62
56,Western Liang (16 states),西涼,400,421,40
57,Qi (Wei Qi),偽齊,1130,1137,69
58,Korea,韓國,0,0,79
59,Qara-Khitay,西遼,1132,1218,70
60,Northern Yan (16 states),北燕,407,436,42
61,Ying Qin,贏秦,-221,-206,3
62,Northern Liang (16 states,北涼,401,439,41
63,Later Yan (16 states),後燕,384,407,35
64,Later Zhao (16 states),後趙,319,351,30
65,Former Qin (16 states),前秦,350,394,32
66,Northern Han (10 states),北漢,951,979,64
67,Xinluo (Korea),新羅,0,0,78
68,Eastern Liang (North. Dy),東梁,555,587,26
69,Former Zhao (16 states),前趙,304,329,27
70,Cheng Han (16 states),成漢,304,347,28
71,Xia (16 states),夏,407,431,43
72,Western Qin (16 states),西秦,385,431,36
73,Later Liang (16 states),後涼,386,403,37
74,Southern Liang (16 states),南涼,397,414,38
75,Former Shu (10 states),前蜀,903,925,55
76,Western Yan (16 states),西燕,384,394,34
77,Zhou (Wu Zetian),周,684,705,47
78,Western Xia,西夏,1032,1227,67
79,Northern Yuan,北元,1371,1387,72
80,Soutthern Ming,南明,1644,1661,74
81,Zheng (Wang Shichong),鄭（王世充）,619,621,45
82,Jin,晉,265,419,12
83,Han,漢,-206,220,4
84,Choson,朝鮮,1392,1897,80
